Job Title,Company Name,Job Location,Job Description,Job Salary,Job Post,Job Link
Remote Information Entry Clerk,Asap Systems,"Frisco, TX",Proficient in using data entry software and tools. Collaborate with team members to improve data entry processes. Resolve discrepancies and errors in data.,$25 an hour,1h,https://www.simplyhired.com/job/-uTTjV6cJRfGBhUJxX_mqNbIRR1Gt-yYkeczezMVHLPmF7sSUwVfgg
Remote Online Chat Support Agent,Asap Systems,"Sioux Falls, SD",Assist customers with technical issues and troubleshoot problems with our online platforms. Maintain accurate and up-to-date records of customer interactions…,$24 an hour,1h,https://www.simplyhired.com/job/rgWh-rfqawJi4t9rIUc99lyVym8DcQzqqMb9G2JIiUsAtB3eoN9DCA
Remote Records Processor,Asap Systems,"Newport News, VA",Maintaining physical and electronic filing systems. Assisting with the implementation of new record management systems and processes.,$25 an hour,1h,https://www.simplyhired.com/job/O8NqWLBpe1yfpugE8K8oZupFXQGEnFRnxsZ3g6wq47Ah5ZXA1EE0CA
Produce (Fruit and Vegetable) Broker,Planet Harvest,Remote,Develop and implement effective sales strategies that emphasize the value and benefits of our services focusing on the food bank system.,"$90,000 - $120,000 a year",2d,https://www.simplyhired.com/job/IjTtRwi0mfjckIneVfc6RY3WHZw4c4O9AVDuGcj4MoEZ7ibOts1CcQ
Remote/ Office - Information Entry Analyst,HPA Strategies,"Miramar, FL","Proven experience in data entry or related field. Proficient in data entry software and tools. As an Information Entry Analyst, you will play a crucial role in…",$26 an hour,1h,https://www.simplyhired.com/job/_IO5M5qqRmgsRklVOcfqsYepJaVYST5XAmQ7KLv2gG7qhiANzUrKbg
Remote Customer Support Specialist,Asap Systems,"Germantown, MD","Respond to incoming customer inquiries via phone, email, and chat in a professional and timely manner. Diagnose and troubleshoot technical issues reported by…",$25 an hour,1h,https://www.simplyhired.com/job/To0kJwjtHEVrxRLEKBNKXVsL-U3IvVhiCLgwQ01ICCfvTRELQnl2Sg
Remote Data Processor,Asap Systems,"Glendale, CA",Strong attention to detail and accuracy in data entry. Generate reports and provide data analysis to support decision-making.,$25 an hour,1h,https://www.simplyhired.com/job/wlJcB_l6QBuzLcoGozOOyYimP_U9smyC6ywr48LWPt4_WrV9-7oODw
Remote Contact Center Agent,Asap Systems,"Orlando, FL","Answer incoming calls and respond to customer inquiries or concerns in a professional and courteous manner. As a Contact Center Agent, you will be responsible…",$24 an hour,1h,https://www.simplyhired.com/job/4PV-Z2UPGNOjDKRjFjytVu3ttOdlywQY0i1pW1UN11Hb2RETEzRDRw
Data Processing Specialist - Remote/Office,Asap Systems,"Gresham, OR",Proficient in Microsoft Excel and other data analysis tools. Perform data entry tasks with a high level of accuracy and attention to detail.,$25 an hour,1h,https://www.simplyhired.com/job/z-7eV8VQi2cVr8LOm-e8m7cze8LSccV77M0_irjsVqAkyzTkbCjv2Q
Live Chat Support Representative,The Driscoll Group,"Huntsville, AL","1-2 years of experience in customer support, preferably in a live chat or technical support role. Strong typing skills and accuracy (30+ wpm).",$17 - $21 an hour,1h,https://www.simplyhired.com/job/FaRm3WFAsO3DyMD9Wh8mY0KYo9J8pvOV6AugtuWIHlrxP0bWdj0xig
