Job Title,Company Name,Job Location,Job Description,Job Salary,Job Post,Job Link,Full Job Description
Remote Information Entry Clerk,Asap Systems,"Frisco, TX",Proficient in using data entry software and tools. Collaborate with team members to improve data entry processes. Resolve discrepancies and errors in data.,$25 an hour,1h,https://www.simplyhired.com/job/-uTTjV6cJRfGBhUJxX_mqNbIRR1Gt-yYkeczezMVHLPmF7sSUwVfgg,"We are seeking an organized and detail-oriented individual to join our team as an Information Entry Clerk. In this role, you will be responsible for accurately inputting and maintaining critical data for our company. As an Information Entry Clerk, you will play a crucial role in ensuring that our data is accurately recorded and readily accessible. You will be responsible for managing and organizing various types of information. Additionally, you will work closely with other team members to resolve any discrepancies or errors in the data


Responsibilities:

Input and update data accurately and efficiently
Maintain and organize various types of information
Resolve discrepancies and errors in data
Conduct regular data audits to ensure integrity and accuracy
Collaborate with team members to improve data entry processes
Follow up with stakeholders to clarify incomplete or unclear data
Protect sensitive information by adhering to company policies and procedures


Requirements:

High school diploma or equivalent

Excellent typing skills
Strong attention to detail
Proficient in using data entry software and tools
Ability to prioritize tasks and meet deadlines
Strong problem-solving skills
Ability to work effectively both independently and in a team environment"
Remote Online Chat Support Agent,Asap Systems,"Sioux Falls, SD",Assist customers with technical issues and troubleshoot problems with our online platforms. Maintain accurate and up-to-date records of customer interactions…,$24 an hour,1h,https://www.simplyhired.com/job/rgWh-rfqawJi4t9rIUc99lyVym8DcQzqqMb9G2JIiUsAtB3eoN9DCA,"We are seeking a highly motivated and customer-oriented individual to join our team as an Online Chat Support Agent. In this role, you will be responsible for providing exceptional customer service via online chat to troubleshoot and resolve customer inquiries. The ideal candidate will have excellent communication skills, a strong attention to detail, and the ability to work in a fast-paced environment.


Responsibilities:

Interact with customers in an online chat environment to provide prompt and accurate information.
Assist customers with technical issues and troubleshoot problems with our online platforms.
Collaborate with other team members to resolve customer concerns and ensure a positive customer experience.
Maintain accurate and up-to-date records of customer interactions and transactions.

Meet established performance metrics and targets for customer satisfaction.
Keep abreast of product updates and changes to effectively assist customers.


Requirements:

High school diploma or equivalent.

Excellent written and verbal communication skills.
Strong problem-solving and troubleshooting abilities.
Ability to multitask and work in a fast-paced environment.
Proficient in using online chat platforms and other customer service software.
Ability to work independently and as part of a team."
Remote Records Processor,Asap Systems,"Newport News, VA",Maintaining physical and electronic filing systems. Assisting with the implementation of new record management systems and processes.,$25 an hour,1h,https://www.simplyhired.com/job/O8NqWLBpe1yfpugE8K8oZupFXQGEnFRnxsZ3g6wq47Ah5ZXA1EE0CA,"We are seeking a detail-oriented and organized individual to join our team as a Records Processor. In this role, you will be responsible for managing and processing records in an accurate and timely manner. This position requires strong attention to detail, excellent organizational skills, and the ability to work with confidential information.


Responsibilities:

Reviewing and verifying the accuracy and completeness of records
Organizing and classifying records according to established guidelines
Entering and updating data in the system
Maintaining physical and electronic filing systems
Retrieving records upon request and ensuring their safe return
Conducting regular audits to ensure compliance with record management policies and procedures
Assisting with the implementation of new record management systems and processes

Requirements:

High school diploma or equivalent
Strong attention to detail and accuracy
Excellent organizational skills

Knowledge of record management principles and best practices
Ability to handle confidential information with discretion
Strong time management skills and ability to prioritize tasks effectively"
Produce (Fruit and Vegetable) Broker,Planet Harvest,Remote,Develop and implement effective sales strategies that emphasize the value and benefits of our services focusing on the food bank system.,"$90,000 - $120,000 a year",2d,https://www.simplyhired.com/job/IjTtRwi0mfjckIneVfc6RY3WHZw4c4O9AVDuGcj4MoEZ7ibOts1CcQ,"Company Description:Planet Harvest is a pioneering force in the produce industry, committed to connecting the dots between growers and vital end-users, such as food banks, to ensure fresh, quality produce reaches those who need it most. We are a dynamic team of problem-solvers, innovators, and advocates driving access to healthy produce, striving to make a tangible difference in communities across the nation.Job Description:We are seeking a highly motivated and experienced Sales Manager with a strong background in the produce supply chain and a sharp focus on revenue generation. This critical role is centered around enhancing our sales strategy, expanding our network of growers and end-users, and ultimately driving our mission forward through strategic partnerships and sales excellence. The ideal candidate will have a robust understanding of the produce industry, exceptional sales skills, and a deep commitment to providing outstanding customer service. Your goal will be to forge strong relationships with growers connecting their products with end-users, ensuring efficiency and satisfaction at every step of the process.Responsibilities:- Aggressively grow our revenue by identifying and securing new business opportunities.- Develop and implement effective sales strategies that emphasize the value and benefits of our services focusing on the food bank system.- Forge and nurture strong relationships with key stakeholders in the produce industry.- Lead negotiations to secure favorable terms that maximize profit margins while maintaining strong partnerships.- Deliver unparalleled customer service.- Drive the achievement of sales targets and revenue goals, with a clear incentive structure tied to performance.- Represent Planet Harvest at industry events.Requirements:- 4+ years of experience in sales, specifically within the produce industry or related fields.- Demonstrated ability to drive sales and generate significant revenue.- Comprehensive understanding of the produce industry, including logistics, distribution, and the specific needs of growers and end-users.- Proven track record of building and maintaining relationships with growers, farmers, and other stakeholders in the produce industry.- Exceptional negotiation and communication skills.- Customer service mentality.- Ability to move quickly and make informed decisions in a fast-paced environment.What We Offer:- Competitive salary and benefits package with a bonus incentive structure designed to reward high achievers.- A meaningful role with a direct impact on food security and the produce industry.- Flexible working conditions to support a healthy work-life balance.- A dynamic and supportive team environment, committed to achieving our collective goals.If you're a sales powerhouse with a passion for produce and thrive in fast-paced, dynamic environments, we would love to hear from you. Let's work together to expand our reach, enhance food security, and drive Planet Harvest to new heights.Job Type: Full-timePay: $90,000.00 - $120,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee discountFlexible scheduleHealth insurancePaid time offParental leaveVision insuranceWeekly day range:Monday to FridayWork Location: Remote"
Remote/ Office - Information Entry Analyst,HPA Strategies,"Miramar, FL","Proven experience in data entry or related field. Proficient in data entry software and tools. As an Information Entry Analyst, you will play a crucial role in…",$26 an hour,1h,https://www.simplyhired.com/job/_IO5M5qqRmgsRklVOcfqsYepJaVYST5XAmQ7KLv2gG7qhiANzUrKbg,"As an Information Entry Analyst, you will play a crucial role in ensuring accurate and efficient data entry for our organization. You will be responsible for inputting, validating, and maintaining various types of data across different systems. Your attention to detail and ability to work efficiently will be essential in this role.

Responsibilities

Enter data accurately and efficiently into designated systems.
Verify data accuracy and completeness by comparing it to source documents.
Review and update data discrepancies or errors.
Conduct regular data audits to ensure data integrity.
Collaborate with team members to standardize data entry procedures.
Identify and suggest process improvements to enhance data entry efficiency.
Assist in generating reports and analysis based on the entered data.

Requirements

High school diploma or equivalent.
Proven experience in data entry or related field.
Proficient in data entry software and tools.
Excellent attention to detail.
Strong organizational skills and ability to prioritize tasks.
Ability to handle sensitive and confidential information with discretion.
Proficient in computer skills, including Microsoft Office Suite and Google Suite.
Effective communication skills, both written and verbal.

Benefits

Competitive salary package
Health and dental insurance
401(k) retirement savings plan
Flexible work hours
Opportunities for professional growth and development"
Remote Customer Support Specialist,Asap Systems,"Germantown, MD","Respond to incoming customer inquiries via phone, email, and chat in a professional and timely manner. Diagnose and troubleshoot technical issues reported by…",$25 an hour,1h,https://www.simplyhired.com/job/To0kJwjtHEVrxRLEKBNKXVsL-U3IvVhiCLgwQ01ICCfvTRELQnl2Sg,"We are seeking a highly motivated and customer-focused individual to join our team as a Customer Support Specialist. In this role, you will be responsible for providing exceptional customer service and technical support to our clients. You will serve as the first point of contact for inquiries and issues, ensuring that all customer needs are addressed in a timely and professional manner.


Responsibilities:

Respond to incoming customer inquiries via phone, email, and chat in a professional and timely manner
Diagnose and troubleshoot technical issues reported by customers
Provide step-by-step instructions to customers in a clear and concise manner
Escalate complex issues to the appropriate team or supervisor for resolution
Document all customer interactions and maintain accurate records in the CRM system
Follow up with customers to ensure their issues are fully resolved and they are satisfied with the service provided
Continuously update knowledge of company products and services to effectively assist customers


Requirements:

High school diploma or equivalent

Excellent verbal and written communication skills
Strong problem-solving abilities and attention to detail
Ability to multitask and prioritize tasks effectively
Proficient in using CRM systems and other relevant software
Ability to work independently and collaborate effectively with cross-functional teams"
Remote Data Processor,Asap Systems,"Glendale, CA",Strong attention to detail and accuracy in data entry. Generate reports and provide data analysis to support decision-making.,$25 an hour,1h,https://www.simplyhired.com/job/wlJcB_l6QBuzLcoGozOOyYimP_U9smyC6ywr48LWPt4_WrV9-7oODw,"We are seeking a detail-oriented and highly organized individual to join our team as a Data Processor. As a Data Processor, you will be responsible for collecting, organizing, and entering data into our system. This position requires excellent attention to detail, strong analytical skills, and the ability to work with large volumes of data.


Responsibilities:

Collect and verify data from various sources
Organize and clean data before entering into the system
Enter data accurately and efficiently into our database
Conduct quality assurance checks to ensure data integrity
Update and maintain databases with new information
Generate reports and provide data analysis to support decision-making
Communicate any data discrepancies or issues to the appropriate team members


Requirements:

Proficient in using database management systems and Microsoft Excel
Strong attention to detail and accuracy in data entry
Excellent analytical and problem-solving skills
Ability to work efficiently under tight deadlines
Excellent verbal and written communication skills."
Remote Contact Center Agent,Asap Systems,"Orlando, FL","Answer incoming calls and respond to customer inquiries or concerns in a professional and courteous manner. As a Contact Center Agent, you will be responsible…",$24 an hour,1h,https://www.simplyhired.com/job/4PV-Z2UPGNOjDKRjFjytVu3ttOdlywQY0i1pW1UN11Hb2RETEzRDRw,"We are seeking a reliable and customer-service oriented Contact Center Agent to join our team. As a Contact Center Agent, you will be responsible for handling incoming calls, providing excellent customer service, and resolving customer inquiries or concerns. You will serve as the first point of contact for customers, ensuring a positive and professional experience.


Responsibilities:

Answer incoming calls and respond to customer inquiries or concerns in a professional and courteous manner
Provide accurate and timely information to customers, including product details, pricing, and availability
Resolve customer complaints or issues in a prompt and efficient manner, escalating to supervisors or managers when necessary
Maintain customer records by updating account information, documenting interactions, and following up on requests
Process customer orders, changes, and returns according to company policies and procedures
Collaborate with other team members to ensure a seamless customer experience
Meet or exceed performance targets, such as call handle time, customer satisfaction, and sales goals


Requirements:

High school diploma or equivalent

Excellent verbal and written communication skills
Strong problem-solving and decision-making abilities
Ability to multi-task and work under pressure
Proficiency in Microsoft Office Suite and customer service software

Ability to maintain a positive and professional attitude in a fast-paced environment"
Data Processing Specialist - Remote/Office,Asap Systems,"Gresham, OR",Proficient in Microsoft Excel and other data analysis tools. Perform data entry tasks with a high level of accuracy and attention to detail.,$25 an hour,1h,https://www.simplyhired.com/job/z-7eV8VQi2cVr8LOm-e8m7cze8LSccV77M0_irjsVqAkyzTkbCjv2Q,"We are looking for a detail-oriented Data Processing Specialist to join our team. As a Data Processing Specialist, you will play a crucial role in ensuring the accuracy and integrity of our company's data. You will be responsible for managing, organizing, and processing large amounts of data in a timely and efficient manner. The ideal candidate for this position is someone who has a strong attention to detail, excellent organizational skills, and the ability to work independently.


Responsibilities:

Perform data entry tasks with a high level of accuracy and attention to detail
Sort, organize, and file paper and electronic documents
Update and maintain databases with new information
Perform regular data audits to ensure data integrity
Generate reports and provide data analysis as needed
Collaborate with team members to identify and implement process improvements
Adhere to data privacy and security guidelines to ensure confidentiality


Requirements:

Proficient in Microsoft Excel and other data analysis tools
Highly analytical with strong problem-solving skills
Excellent attention to detail and accuracy
Strong organizational and time management skills
Ability to work independently and meet tight deadlines"
Live Chat Support Representative,The Driscoll Group,"Huntsville, AL","1-2 years of experience in customer support, preferably in a live chat or technical support role. Strong typing skills and accuracy (30+ wpm).",$17 - $21 an hour,1h,https://www.simplyhired.com/job/FaRm3WFAsO3DyMD9Wh8mY0KYo9J8pvOV6AugtuWIHlrxP0bWdj0xig,"Job Summary:

We are seeking a customer-focused and tech-savvy Live Chat Support representative to join our team at Driscoll Group. As a Live Chat Support representative, you will be the first point of contact for our customers, providing exceptional support and resolving issues through live chat, email, and phone. Your goal will be to deliver top-notch customer service, ensuring our customers have an outstanding experience with our brand.

Key Responsibilities:

Respond to customer inquiries through live chat, email, and phone in a timely and professional mannerResolve customer issues and concerns with empathy and effective solutionsProvide accurate and helpful information about our products and servicesTroubleshoot and resolve technical issues with our products or servicesEscalate complex issues to senior support teams or other departments as neededCollaborate with internal teams to resolve customer complaints and improve overall customer experienceMeet and exceed customer satisfaction and quality metricsStay up-to-date with product knowledge, industry trends, and company information
Requirements:

High school diploma or equivalent required1-2 years of experience in customer support, preferably in a live chat or technical support roleExcellent communication, problem-solving, and conflict resolution skillsAbility to work in a fast-paced environment and adapt to changing prioritiesStrong typing skills and accuracy (30+ wpm)Familiarity with customer relationship management (CRM) software and technologyAbility to work varying shifts, including evenings and weekends
Working Conditions:

Work is performed remotelyMust be able to work varying shifts, including evenings and weekendsMay require occasional overtime to meet customer demand
What We Offer:

Competitive salary and benefits packageOpportunities for professional growth and developmentCollaborative and dynamic work environmentThe chance to be part of a leading organization dedicated to delivering exceptional customer experiences
This is a remote position."
